Team 1,Team 2,Pitch,Runs Left,Balls Left,Wickets Remaining,Total Runs Scored,Current Run Rate,Required Run Rate,Winner
West Indies,Pakistan,3,41,18,4,179,8.176470588,13.66666667,0
Australia,Afghanistan,3,11,7,8,178,8.920353982,9.428571429,1
New Zealand,Australia,2,148,106,10,157,4.285714286,8.377358491,0
England,Australia,3,97,50,6,181,7.285714286,11.64,0
England,India,2,76,67,10,151,8.603773585,6.805970149,1
Afghanistan,Australia,3,112,42,6,218,8.230769231,16,0
Sri Lanka,Australia,1,43,15,3,116,4.228571429,17.2,0
Pakistan,Australia,3,148,81,8,193,7.076923077,10.96296296,0
Australia,India,3,133,81,7,176,6.769230769,9.851851852,0
Afghanistan,West Indies,3,135,80,10,171,5.55,10.125,0
Sri Lanka,New Zealand,3,54,8,2,177,6.642857143,40.5,0
New Zealand,Pakistan,1,88,69,6,134,5.529411765,7.652173913,0
West Indies,Afghanistan,3,178,109,10,186,4.909090909,9.798165138,0
India,West Indies,1,137,117,10,140,8,7.025641026,0
New Zealand,Australia,3,78,32,8,246,11.52272727,14.625,0
Pakistan,Australia,3,114,28,3,223,7.173913043,24.42857143,0
West Indies,India,3,41,28,4,173,8.673913043,8.785714286,0
West Indies,Australia,1,132,107,10,148,7.846153846,7.401869159,0
